bitsize of rsa, amount of oracle calls, time in seconds
2048, 28820, 361.42140364646912048
1024, 216835, 97.45413041114807
1024, 9351, 4.41949462890625
1024, 421544, 188.13639545440674
1024, 288860, 132.23697447776794
1024, 675733, 301.9433720111847
1024, 296748, 133.70532035827637
1024, 52532, 40.86268472671509
1024, 28682, 12.548287391662598
1024, 124240, 53.734336137771606
1024, 31727, 13.878738164901733
1024, 25887, 11.484215259552002
1024, 41834, 18.247454166412354
1024, 254444, 111.93125414848328
1024, 13004, 5.85337495803833
2048, 42286, 61.402995586395264
2048, 10628, 16.07297921180725
2048, 250057, 353.3237295150757
256, 750034, 116.78788018226624
256, 68477, 10.86585283279419
1024, 503890, 212.26971650123596
1024, 28563, 12.218093633651733
1024, 219611, 93.04169797897339
2048, 131892, 182.1104986667633
2048, 14077, 20.01816487312317
2048, 152866, 211.653413772583
